+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Experiment              | Created      | reports\metrics_catboost.json:R2 | reports\metrics_catboost.json:MSE | reports\metrics_catboost.json:MAPE | reports\metrics_catboost.json:EV | reports\metrics_xgboost.json:R2 | reports\metrics_xgboost.json:MSE | reports\metrics_xgboost.json:MAPE | reports\metrics_xgboost.json:EV | train.test_size | train.iterations | train.loss_function | train.learning_rate | train.ctr_leaf_count_limit | train.max_depth | train.booster | train.eta | train.tree_method | train.random_state |
| \u251c\u2500\u2500 6686ecb [exp-5a4a9] | 12:22 AM     |                          0.90736 |                        7.4491e+08 |                           0.092068 |                           0.9082 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 4               | gbtree        | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 2511566 [exp-e7f24] | 12:21 AM     |                          0.91379 |                        6.1387e+08 |                           0.093931 |                          0.91418 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 4               | gbtree        | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 9c780fa [exp-2d89f] | 12:20 AM     |                          0.90736 |                        7.4491e+08 |                           0.092068 |                           0.9082 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 4               | dart          | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 77f5119 [exp-82db3] | 12:19 AM     |                          0.91379 |                        6.1387e+08 |                           0.093931 |                          0.91418 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 4               | dart          | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 67ba526 [exp-1e628] | 12:18 AM     |                          0.90736 |                        7.4491e+08 |                           0.092068 |                           0.9082 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 4               | dart          | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 9476338 [exp-0a3ea] | 12:17 AM     |                          0.91379 |                        6.1387e+08 |                           0.093931 |                          0.91418 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 4               | dart          | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 debb209 [exp-fa45c] | 12:15 AM     |                          0.84594 |                        1.2388e+09 |                            0.10773 |                          0.84672 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 1               | gbtree        | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 5c65470 [exp-e4736] | 12:15 AM     |                          0.88552 |                        8.1519e+08 |                            0.11013 |                          0.88555 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 1               | gbtree        | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 b495d6d [exp-e6b5f] | 12:14 AM     |                          0.84594 |                        1.2388e+09 |                            0.10773 |                          0.84672 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 1               | gbtree        | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 6ff29e9 [exp-66452] | 12:13 AM     |                          0.88552 |                        8.1519e+08 |                            0.11013 |                          0.88555 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 1               | gbtree        | 0.01      | exact             | 1                  |
